id,gender,masterCategory,subCategory,articleType,baseColour,season,usage
15970,2,1,33,75,25,0,0
39386,2,1,4,42,2,2,0
59263,4,0,35,101,37,3,0
21379,2,1,4,91,1,0,0
53759,2,1,33,96,13,2,0
1855,2,1,33,96,13,2,0
30805,2,1,33,75,12,2,1
26960,4,1,33,75,32,2,0
29114,2,0,29,78,25,2,0
30039,2,0,35,101,1,3,0
9204,2,2,26,15,1,2,0
48123,4,0,3,6,1,2,0
18653,2,2,9,30,1,0,0
47957,4,0,2,37,2,2,0
46885,0,2,9,30,25,0,0
12369,2,1,33,75,32,0,2
29928,2,0,35,101,1,3,0
42419,1,1,33,90,44,2,0
51832,4,1,15,9,0,2,0
47359,4,0,2,37,4,2,0
17429,2,0,35,101,1,3,0
12967,2,2,23,72,1,0,0
13089,2,1,33,87,13,0,5
18461,2,4,10,21,44,1,0
9036,2,2,26,31,1,3,2
48311,4,0,16,10,3,3,0
7990,2,1,33,96,25,0,5
56019,4,4,17,54,4,1,0
21977,4,0,2,37,4,3,0
37812,2,1,33,75,25,2,2
4729,0,1,33,96,12,2,0
56825,2,1,33,75,4,2,0
39988,2,2,26,15,44,3,0
59051,4,2,26,29,1,3,0
20099,4,1,33,48,12,0,1
58183,4,0,2,37,44,2,0
29742,4,0,2,37,42,2,0
51658,4,0,35,101,8,3,0
3954,4,1,33,96,31,2,0
18839,2,0,3,6,1,0,2
2886,4,2,26,29,4,3,0
23278,2,0,35,101,27,3,0
28690,4,1,33,48,0,2,1
8580,2,1,33,99,13,0,0
3168,2,2,26,80,44,0,5
18005,2,1,4,76,1,2,5
17871,2,1,15,11,19,3,0
9452,2,1,33,75,33,0,2
38402,4,0,3,6,1,2,0
44984,4,0,35,101,44,3,0
10268,2,2,26,31,1,0,2
45856,4,1,33,48,4,2,1
32138,2,1,15,11,2,2,0
59435,2,2,26,31,1,2,2
5891,2,1,33,96,1,2,0
38630,4,1,33,96,32,2,0
4943,2,1,33,75,44,2,0
11188,2,0,35,101,37,3,0
10866,2,1,33,96,33,0,0
59607,4,1,24,73,13,0,1
15528,2,1,33,96,1,0,0
45258,2,0,35,101,1,3,0
42841,4,0,2,37,0,2,0
22198,2,2,26,15,1,0,0
29570,2,2,26,15,32,2,0
43993,4,4,10,67,31,1,0
6628,2,2,26,80,44,2,5
54924,2,1,4,76,2,2,0
26538,2,2,26,15,33,0,0
35913,4,0,2,37,1,2,0
49495,2,2,26,15,15,2,0
9660,2,1,33,75,31,0,0
2288,4,1,33,96,1,0,5
23876,2,1,33,87,2,0,0
18237,2,1,33,96,33,0,0
54118,4,2,26,38,1,3,0
2872,4,2,26,38,4,3,0
49653,4,1,33,90,12,2,0
8574,4,2,23,72,31,0,0
16957,2,0,8,83,1,3,0
19123,2,2,9,30,37,0,0
13419,2,1,33,96,31,2,0
17885,2,1,15,40,13,2,0
43369,2,2,9,30,1,2,0
48781,4,0,16,66,37,2,0
44970,2,0,35,101,44,3,0
39524,3,0,2,50,29,2,0
33822,2,2,26,80,44,2,5
58513,4,1,33,90,27,2,0
25947,4,0,25,74,4,2,0
5865,2,1,33,96,1,2,0
39716,4,1,6,22,2,2,0
25349,2,1,15,11,33,2,0
11940,2,2,23,72,1,2,0
55802,4,1,18,63,44,2,0
29584,2,1,33,96,1,2,0
43967,4,4,10,67,33,1,0
28456,4,1,4,77,2,2,5
34009,1,1,33,90,1,2,0
19311,2,2,26,15,44,0,0
42089,2,2,26,80,44,2,5
22950,3,0,35,101,1,3,0
49461,2,2,26,15,2,2,0
8746,3,2,9,30,25,2,0
9694,2,1,33,96,44,0,0
23882,2,2,26,80,13,0,5
34835,2,2,26,80,2,2,5
15984,2,1,33,75,45,0,0
41268,2,0,34,100,1,2,0
11518,4,2,26,38,13,3,0
14856,4,0,34,100,0,2,0
33648,2,2,23,72,4,2,0
59297,2,1,33,75,44,0,0
28032,2,1,15,11,44,2,0
26994,4,1,4,42,1,2,0
49839,4,2,9,30,33,3,0
31923,4,0,2,37,2,2,0
2618,4,2,26,29,37,1,0
54588,4,1,33,48,12,2,1
49005,4,0,16,68,37,2,0
8322,0,1,33,96,2,0,0
13841,3,0,35,101,44,3,0
28200,2,0,8,83,8,3,0
12993,3,2,26,80,1,0,5
7158,2,1,33,75,12,0,0
18495,2,2,23,72,44,0,0
8110,2,0,35,101,1,3,0
19547,2,1,33,87,2,0,0
7964,2,1,33,96,1,0,5
36934,4,4,10,67,11,1,0
39140,4,1,1,47,1,2,1
20851,4,0,2,17,33,3,0
41866,2,2,23,72,0,0,0
58177,4,0,2,37,4,2,0
44528,2,2,23,72,1,2,0
16392,2,1,33,75,33,0,0
50587,2,1,15,11,13,2,0
17240,2,1,33,96,1,0,0
47530,4,2,26,29,8,3,0
6617,2,1,33,75,1,2,0
12732,3,0,2,2,1,0,5
3365,2,1,33,96,1,2,0
42042,2,2,26,80,44,2,5
23849,2,2,26,15,1,0,0
43190,4,0,35,101,44,3,0
48578,2,0,16,10,39,2,0
30462,4,1,15,9,1,2,0
18208,2,0,14,14,44,0,0
54127,4,2,26,38,1,3,0
10065,2,1,33,96,45,0,0
24250,2,2,26,15,44,0,0
32335,2,0,35,101,37,3,0
25382,2,1,15,40,44,2,0
56670,2,0,35,101,1,3,0
5092,2,1,33,96,32,2,0
10859,2,1,33,96,25,0,0
59638,4,1,24,73,12,0,1
15517,2,2,26,15,33,0,0
4140,4,2,26,15,12,3,0
36795,2,0,35,101,37,3,0
40527,2,0,35,101,11,3,0
10257,2,1,4,94,1,0,2
24062,2,1,33,96,25,2,0
45869,2,0,35,101,4,3,0
11385,4,1,33,87,1,0,0
53130,4,2,26,29,4,3,0
44187,4,4,10,67,44,1,0
21510,4,0,2,37,44,3,0
51667,2,0,8,83,13,3,0
22395,2,1,33,75,2,0,0
35322,4,0,16,25,37,3,1
6425,3,2,26,15,1,2,0
18806,2,0,3,6,40,2,0
23247,2,2,26,31,1,0,2
17072,4,0,3,6,13,3,0
31782,4,1,33,90,2,2,0
42270,3,2,26,15,1,2,0
12500,2,1,33,75,1,0,0
26735,2,4,10,21,1,1,0
30650,2,1,33,96,1,2,0
56026,4,4,17,54,4,1,0
21948,4,0,2,37,4,3,0
32563,4,1,4,94,2,2,0
58980,4,4,10,21,31,1,0
40143,1,1,33,90,2,2,0
10633,2,2,26,31,4,0,2
24406,4,1,33,48,33,2,1
4716,3,0,35,101,1,3,5
21174,4,1,33,90,0,0,0
15341,4,1,4,76,31,0,5
52486,4,1,15,12,19,3,0
53554,2,1,15,8,22,2,0
14293,2,1,33,96,2,0,0
47366,4,0,2,37,2,2,0
6041,2,1,33,96,25,2,0
23623,1,1,33,90,31,0,0
17416,2,2,26,80,1,0,5
9835,4,1,33,96,13,0,0
29319,3,0,2,2,33,2,0
7193,4,1,4,42,1,0,0
12958,2,2,26,80,1,0,5
27283,4,1,33,48,18,0,1
30234,2,2,9,30,1,2,0
9009,4,0,2,37,4,3,0
3533,2,1,33,96,25,2,0
42614,4,0,16,44,11,3,0
12164,4,1,33,24,29,0,1
26351,4,0,35,101,44,3,0
17624,2,1,4,91,25,0,5
47154,1,1,4,13,1,2,0
35574,2,2,9,30,33,2,0
46086,4,2,26,80,16,2,5
51031,4,1,15,9,44,2,0
13284,2,1,4,76,1,0,0
54543,2,2,26,80,44,0,0
55491,4,4,17,52,4,1,0
26163,2,1,4,94,13,2,2
3701,4,1,33,96,1,2,0
29917,2,0,35,101,44,3,0
42426,4,1,33,48,36,2,1
32751,2,2,26,15,1,2,0
56214,4,0,16,25,11,3,0
10401,4,1,33,90,32,0,0
40371,4,1,4,42,25,2,0
21346,2,0,8,83,11,3,0
45603,2,2,26,31,1,2,2
4524,2,2,26,80,1,2,5
37223,4,1,33,90,2,2,0
53766,2,1,33,96,44,2,0
25520,1,1,33,90,44,0,0
32597,4,1,33,90,1,2,0
58974,2,4,10,21,11,1,0
33445,4,0,34,100,1,2,0
57100,4,1,33,90,31,2,0
36137,4,2,26,80,31,2,5
41859,2,2,23,72,1,2,0
21180,2,2,9,30,1,2,0
39943,2,2,26,15,4,2,0
52472,4,1,18,5,31,3,0
58148,3,0,14,14,44,0,0
20052,4,0,20,60,45,0,0
5630,4,2,9,30,2,2,0
44517,2,2,9,30,4,2,0
47392,4,0,2,37,0,0,0
50325,4,1,33,48,25,2,1
8913,2,2,26,80,44,0,5
16530,2,1,33,75,33,0,0
22705,2,2,26,15,44,0,0
7167,2,1,33,75,32,0,0
46240,4,1,33,97,44,2,0
27277,4,1,33,48,12,0,1
13042,4,2,26,29,4,3,0
6889,4,1,33,41,9,2,0
31312,4,1,33,48,30,2,1
12190,2,1,33,75,2,0,0
55657,4,2,26,38,11,3,0
19578,4,1,33,90,32,2,0
27879,4,1,33,90,2,2,0
34452,4,2,26,29,8,3,0
6287,2,1,33,96,45,2,0
7355,2,1,33,96,25,0,0
46072,2,0,3,6,1,2,0
22537,2,2,23,72,40,2,0
28831,4,1,15,11,4,2,0
43500,2,1,33,96,44,2,0
2627,4,2,26,29,37,0,0
27045,4,0,2,17,27,2,0
13270,4,1,33,90,44,0,0
18698,2,1,15,11,13,2,0
55465,4,4,17,54,33,1,0
26197,2,4,10,67,12,1,0
31120,1,1,33,90,31,2,0
25712,3,0,14,14,2,2,5
11527,2,1,33,96,28,0,0
14869,2,0,34,100,1,2,0
40385,4,1,33,90,45,2,0
15187,2,1,33,96,44,0,0
44725,4,2,9,30,29,2,0
14055,2,1,33,75,12,0,0
20260,2,1,33,96,25,0,0
7731,2,2,9,30,13,3,0
22153,2,2,23,72,4,2,0
43958,2,2,23,72,28,0,0
28469,4,1,33,96,31,2,0
50573,2,1,15,95,6,2,0
34036,0,1,33,75,2,2,0
8779,2,1,33,75,25,0,0
3391,4,0,2,37,44,3,0
43164,2,0,35,101,1,3,0
2243,2,1,33,96,44,0,5
30496,4,1,15,9,32,2,0
27421,4,1,18,55,2,3,0
57756,4,4,28,28,12,1,0
33213,4,1,33,90,18,2,0
39729,4,1,33,90,28,2,0
25376,2,1,15,40,13,2,0
11143,2,1,33,75,1,0,0
56684,4,1,24,73,0,0,1
4988,4,1,6,22,44,2,0
44341,2,1,33,96,2,2,0
14431,4,2,26,38,1,2,0
20604,4,0,2,37,4,3,0
52224,4,0,16,62,37,2,0
