id,gender,masterCategory,subCategory,articleType,baseColour,season,usage
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual
59263,Women,Accessories,Watches,Watches,Silver,Winter,Casual
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual
30805,Men,Apparel,Topwear,Shirts,Green,Summer,Ethnic
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,Casual
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,Casual
30039,Men,Accessories,Watches,Watches,Black,Winter,Casual
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual
48123,Women,Accessories,Belts,Belts,Black,Summer,Casual
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,Casual
47957,Women,Accessories,Bags,Handbags,Blue,Summer,Casual
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,Casual
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal
29928,Men,Accessories,Watches,Watches,Black,Winter,Casual
42419,Girls,Apparel,Topwear,Tops,White,Summer,Casual
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,Casual
47359,Women,Accessories,Bags,Handbags,Brown,Summer,Casual
17429,Men,Accessories,Watches,Watches,Black,Winter,Casual
12967,Men,Footwear,Sandal,Sandals,Black,Fall,Casual
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,Casual
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,Sports
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,Casual
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,Formal
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,Casual
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Sports
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,Casual
21977,Women,Accessories,Bags,Handbags,Brown,Winter,Casual
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Formal
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,Casual
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,Casual
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,Casual
59051,Women,Footwear,Shoes,Flats,Black,Winter,Casual
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic
58183,Women,Accessories,Bags,Handbags,White,Summer,Casual
29742,Women,Accessories,Bags,Handbags,Teal,Summer,Casual
